Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
5, PinuJeff, eco9, 1, 0.32, 1, 0.68, 0.19, 67, 131, 260, 
5, PinuJeff, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, PinuLamb, eco1, 118, 0, 1, 0.66, 0, 137.85, 15.99, 288.22, 
5, PinuLamb, eco2, 499, 0, 1, 0.45, 0, 173.74, 30.09, 282.91, 
5, PinuLamb, eco3, 210, 0.02, 1, 0.53, 0.01, 148.92, 43.2, 280.17, 
5, PinuLamb, eco4, 264, 0.09, 1, 0.55, 0.05, 134, 55.58, 276.32, 
5, PinuLamb, eco5, 249, 0.88, 1, 0.51, 0.31, 106.54, 107.86, 268.6, 
5, PinuLamb, eco6, 502, 0.85, 1, 0.4, 0.24, 103.28, 124.73, 262.87, 
5, PinuLamb, eco7, 242, 0.61, 1, 0.54, 0.31, 81.84, 130.41, 261.09, 
5, PinuLamb, eco8, 38, 0.5, 1, 0.65, 0.3, 67.87, 128.79, 260.18, 
5, PinuLamb, eco9, 1, 0.32, 1, 0.69, 0.19, 62, 131, 260, 
5, PinuLamb, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, PinuMont, eco1, 125, 0, 1, 0.62, 0, 140.45, 16.18, 287.4, 
5, PinuMont, eco2, 503, 0, 1, 0.4, 0, 176.08, 30.12, 282.93, 
5, PinuMont, eco3, 197, 0, 1, 0.49, 0, 150.05, 43.77, 280.66, 
5, PinuMont, eco4, 242, 0, 1, 0.52, 0, 133.56, 55.3, 276.34, 
5, PinuMont, eco5, 235, 0.05, 1, 0.47, 0.03, 106.08, 107.99, 268.61, 
5, PinuMont, eco6, 512, 0.96, 1, 0.32, 0.19, 103.88, 124.56, 262.59, 
5, PinuMont, eco7, 233, 0.97, 1, 0.47, 0.28, 83.17, 130.76, 260.99, 
5, PinuMont, eco8, 38, 0.96, 1, 0.62, 0.37, 67.58, 128.79, 260.18, 
5, PinuMont, eco9, 1, 0.89, 1, 0.66, 0.4, 62, 131, 260, 
5, PinuMont, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, PopuTrem, eco1, 178, 0, 1, 0.62, 0, 134.39, 16.9, 285.45, 
