EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,MaximumSpreadArea,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,AvailableCohorts,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanPET,MeanWD,MeanClay,MeanFineFuels,MeanLadderFuels,MeanDNBR,TotalBiomassMortality,
75, 72, 51, 580, 39.2706284025752, 274, 670, Accidental, 1, 1, 37, 44, 7.9219335024, 5.11185077597127, 73.0448664, NaN, 39.27, NaN, 540.405874223009, 475.584629072369, 0.129999995231628, 0.106889140776831, 0, 612, 26606, 
76, 73, 96, 160, 46.6290207826309, 167, 724, Accidental, 2, 309, 4983, 14615, 21.1121299351573, 22.4401689520635, 268.374674124919, 0, 45.68, 0.64647126489879, 804.999468020644, 733.999745948453, 0.154290039297254, 0.0713231153099024, 14.1715210355987, 339.04, 1380749, 
77, 73, 58, 608, 30.1078916259338, 206, 505, Accidental, 1, 1, 38, 48, 9.7425847224, 4.72132996708012, 1.12828869999998, NaN, 30.11, NaN, 540.405874223009, 538.21712393741, 0.129999995231628, 0.146674694782839, 0, 434, 22549, 
78, 74, 34, 198, 44.6827652749258, 235, 835, Accidental, 1, 1, 16, 48, 14.6229872328, 11.7595611245759, 63.151651, NaN, 44.68, NaN, 784.349528744278, 670.03065049308, 0.130192369222641, 0.0763784842161016, 0, 451, 3369, 
79, 74, 31, 196, 24.8659138161808, 324, 520, Accidental, 1, 1, 5, 21, 10.9446713964, 14.749788121912, 322.66591, NaN, 24.87, NaN, 784.349528744278, 753.594791256081, 0.129999995231628, 0.0742741445395147, 0, 331, 2268, 
80, 77, 92, 167, 76.2391917313526, 250, 785, Accidental, 3, 799, 13548, 39478, 18.1114558316516, 17.6649648580014, 299.590106678346, 6.05263157894737, 65.78, 0.735671868094524, 802.175410039384, 739.475444603447, 0.147536525812853, 0.0691972700871755, 2.24530663329161, 351.95, 3703900, 
81, 77, 21, 228, 53.638557055881, 251, 877, Accidental, 2, 387, 8678, 21046, 11.307166465907, 12.1982100166566, 198.988333672093, 14.2487046632124, 52.58, 0.624968852863879, 771.463816727735, 709.074498409633, 0.165112256676498, 0.0749125812460585, 0.736434108527132, 390.8, 2588490, 
82, 77, 51, 160, 32.2784544775871, 266, 585, Accidental, 1, 1, 8, 37, 9.0189963792, 8.59763562265664, 337.2705905, NaN, 32.28, NaN, 784.349528744278, 753.594631946409, 0.129999995231628, 0.0777050179838446, 0, 352, 862, 
83, 77, 8, 181, 49.9790037205016, 306, 927, Accidental, 1, 63, 791, 2262, 9.33549235971428, 11.2816243333531, 93.7941959428572, 11.2903225806452, 51.55, 0.564133844892037, 787.998713147472, 721.779590960433, 0.14728311733121, 0.0722467520515016, 0, 387.87, 310889, 
84, 77, 102, 246, 20.9930659298009, 330, 469, Lightning, 1, 1, 21, 54, 9.4063863672, 16.342475842143, 52.0225166, NaN, 20.99, NaN, 784.349528744278, 727.561922577759, 0.134141102433205, 0.0778071302880761, 0, 350, 10375, 
85, 78, 8, 141, 44.5686178733492, 252, 809, Accidental, 1, 1, 20, 54, 7.9760160216, 9.47268059677185, 51.322185, NaN, 44.57, NaN, 809.893819566636, 721.866131092309, 0.129999995231628, 0.0694270529525722, 0, 409, 5209, 
86, 79, 66, 611, 29.4237364173794, 219, 580, Accidental, 1, 1, 14, 18, 10.1647494756, 12.871716009601, 358.5421485, NaN, 29.42, NaN, 540.405874223009, 505.61693125262, 0.122475579380989, 0.0925893813174661, 0, 482, 13021, 
87, 79, 17, 176, 55.0257886228526, 270, 656, Accidental, 2, 331, 4310, 12441, 14.0639021670344, 11.7225420369483, 89.865517181269, 17.7272727272727, 54.16, 0.646756603266649, 787.957636425148, 728.622731830511, 0.152540314998872, 0.0693437828365067, 0.546827794561934, 380.02, 1521048, 
