Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
2040, eco3, 2, 88.59, 13.2, 57, 304, 0, 
2041, eco3, 2, 132.49, 14, 47, 319, 0, 
2042, eco3, 2, 126.3, 13.68, 0, 324, 0, 
2043, eco3, 2, 192.31, 13.58, 0, 280, 0, 
2044, eco3, 2, 126.3, 13.68, 0, 324, 0, 
2045, eco3, 2, 247.05, 13.83, 0, 365, 0, 
2046, eco3, 2, 95.24, 15.43, 0, 346, 0, 
2047, eco3, 2, 191.7, 14.02, 17, 321, 0, 
2048, eco3, 2, 79.35, 4.29, 134, 249, 0, 
2049, eco3, 2, 123.5, 13.59, 75, 311, 0, 
2050, eco3, 2, 222.1, 13.51, 0, 345, 0, 
2051, eco3, 2, 247.05, 13.83, 0, 365, 0, 
2052, eco3, 2, 123.5, 13.59, 75, 311, 0, 
2053, eco3, 2, 106, 13.99, 20, 305, 0, 
2054, eco3, 2, 108.97, 13.63, 26, 303, 0, 
2055, eco3, 2, 191.7, 14.02, 17, 321, 0, 
2056, eco3, 2, 219.18, 11.54, 33, 296, 0, 
2057, eco3, 2, 191.97, 14.18, 0, 331, 0, 
2058, eco3, 2, 106, 13.99, 20, 305, 0, 
2059, eco3, 2, 160.96, 12.85, 0, 302, 0, 
2060, eco3, 2, 219.18, 11.54, 33, 296, 0, 
1980, eco4, 3, 209.74, 12.91, 0, 324, 0, 
1981, eco4, 3, 246.2, 12.13, 0, 334, 0, 
1982, eco4, 3, 124.3, 12.53, 47, 303, 0, 
1983, eco4, 3, 124.41, 11.99, 53, 291, 0, 
1984, eco4, 3, 94.63, 13.83, 16, 296, 0, 
1985, eco4, 3, 164.7, 11.74, 85, 309, 0, 
1986, eco4, 3, 124.3, 12.53, 47, 303, 0, 
1987, eco4, 3, 154.54, 13.9, 0, 365, 0, 
1988, eco4, 3, 241.39, 10.21, 90, 291, 0, 
1989, eco4, 3, 124.3, 12.53, 47, 303, 0, 
1990, eco4, 3, 109.79, 15.37, 0, 347, 0, 
1991, eco4, 3, 113.92, 12.73, 27, 321, 0, 
1992, eco4, 3, 145.34, 12.48, 0, 324, 0, 
1993, eco4, 3, 216.82, 11.6, 0, 301, 0, 
1994, eco4, 3, 144.1, 12.78, 54, 310, 0, 
1995, eco4, 3, 94.63, 13.83, 16, 296, 0, 
1996, eco4, 3, 51.78, 13.12, 51, 324, 0, 
1997, eco4, 3, 109.79, 15.37, 0, 347, 0, 
1998, eco4, 3, 51.78, 13.12, 51, 324, 0, 
1999, eco4, 3, 51.78, 13.12, 51, 324, 0, 
2000, eco4, 3, 134.29, 12.27, 92, 309, 0, 
2001, eco4, 3, 113.92, 12.73, 27, 321, 0, 
2002, eco4, 3, 115.58, 12.76, 29, 299, 0, 
2003, eco4, 3, 124.3, 12.53, 47, 303, 0, 
2004, eco4, 3, 175.41, 11.35, 54, 299, 0, 
2005, eco4, 3, 144.1, 12.24, 48, 286, 0, 
2006, eco4, 3, 154.54, 13.9, 0, 365, 0, 
2007, eco4, 3, 142.92, 11.96, 81, 316, 0, 
2008, eco4, 3, 246.2, 12.13, 0, 334, 0, 
2009, eco4, 3, 139.96, 12.02, 63, 348, 0, 
2010, eco4, 3, 96.07, 11.93, 65, 302, 0, 
2011, eco4, 3, 145.34, 12.48, 0, 324, 0, 
2012, eco4, 3, 154.54, 13.9, 0, 365, 0, 
2013, eco4, 3, 144.1, 12.78, 54, 310, 0, 
2014, eco4, 3, 206.64, 12.74, 76, 321, 0, 
2015, eco4, 3, 141.4, 12.63, 29, 290, 0, 
2016, eco4, 3, 184.6, 12.49, 0, 333, 0, 
2017, eco4, 3, 144.1, 12.24, 48, 286, 0, 
2018, eco4, 3, 144.1, 12.78, 54, 310, 0, 
2019, eco4, 3, 124.3, 12.53, 47, 303, 0, 
2020, eco4, 3, 118.9, 12.31, 52, 299, 0, 
