SimulationYear,DayOfYear,AttemptedNumberIgnitions,ActualNumberIgnitions,FireWeatherIndex,IgnitionType,
3, 292, 4, 4, 20.7637358636117, Rx, 
3, 293, 4, 4, 23.1783175426155, Rx, 
3, 294, 4, 4, 25.459239800381, Rx, 
3, 295, 4, 4, 24.4146796431468, Rx, 
3, 296, 4, 4, 25.7792433116051, Rx, 
3, 301, 4, 4, 10.3852101013052, Rx, 
3, 302, 4, 4, 14.2095824693424, Rx, 
3, 311, 4, 4, 14.5713356786546, Rx, 
3, 312, 4, 4, 18.8829751104459, Rx, 
3, 313, 4, 4, 18.2707833040794, Rx, 
3, 315, 4, 4, 18.1637254301359, Rx, 
3, 316, 4, 4, 20.3154312914778, Rx, 
3, 326, 4, 4, 36.0070350539471, Rx, 
3, 327, 4, 4, 31.7055187974291, Rx, 
3, 329, 4, 4, 18.4835374342607, Rx, 
3, 330, 4, 4, 17.9379449120963, Rx, 
3, 336, 4, 4, 7.95408712382943, Rx, 
3, 338, 4, 4, 12.2208479977777, Rx, 
3, 339, 4, 4, 13.5953803692385, Rx, 
3, 340, 4, 4, 11.6635536037147, Rx, 
3, 341, 4, 4, 9.62585670903744, Rx, 
3, 345, 4, 4, 13.5642335427872, Rx, 
3, 346, 4, 4, 11.9853946077897, Rx, 
4, 38, 4, 4, 8.33573943486246, Rx, 
4, 39, 4, 4, 7.25202521107017, Rx, 
4, 89, 4, 4, 7.37522881863243, Rx, 
4, 90, 4, 4, 7.87725711978578, Rx, 
4, 91, 4, 4, 7.85943540559895, Rx, 
4, 92, 4, 4, 6.23065175134543, Rx, 
4, 95, 4, 4, 6.1810127848149, Rx, 
4, 96, 4, 4, 6.54907358462294, Rx, 
4, 97, 4, 4, 7.11017843948231, Rx, 
4, 98, 4, 4, 8.5659042206307, Rx, 
4, 99, 4, 4, 10.2297989629532, Rx, 
4, 102, 4, 4, 11.4337798165282, Rx, 
4, 114, 4, 4, 17.2172637364925, Rx, 
4, 116, 4, 4, 19.86043928758, Rx, 
4, 122, 4, 4, 11.2010383928994, Rx, 
4, 123, 4, 4, 15.6313605245606, Rx, 
4, 124, 4, 4, 19.0862742403935, Rx, 
4, 126, 4, 4, 25.5860825251125, Rx, 
4, 127, 4, 4, 25.2121294054597, Rx, 
4, 128, 4, 4, 20.4130316903229, Rx, 
4, 129, 4, 4, 17.3797848600461, Rx, 
4, 130, 4, 4, 19.8324105206059, Rx, 
4, 131, 4, 4, 19.5703137234966, Rx, 
4, 132, 4, 4, 19.032235976135, Rx, 
4, 133, 4, 4, 19.3249140931215, Rx, 
4, 134, 4, 4, 19.4384647392952, Rx, 
4, 139, 4, 4, 13.3463596156735, Rx, 
4, 140, 4, 4, 13.5458249247705, Rx, 
4, 141, 4, 4, 14.4255360415215, Rx, 
4, 142, 4, 4, 15.3746819305564, Rx, 
4, 143, 4, 4, 17.9678888316603, Rx, 
4, 146, 4, 4, 13.493787785507, Rx, 
4, 147, 4, 4, 14.5934147916466, Rx, 
4, 148, 4, 4, 14.5630453341102, Rx, 
4, 157, 4, 4, 21.1098560831579, Rx, 
4, 158, 4, 4, 19.759620810036, Rx, 
4, 159, 4, 4, 20.2215808609099, Rx, 
4, 161, 4, 4, 22.5308096373994, Rx, 
4, 163, 4, 4, 28.9198070501778, Rx, 
4, 164, 4, 4, 29.9566991176966, Rx, 
4, 166, 4, 4, 19.6192721243852, Rx, 
4, 169, 4, 4, 21.9946915246181, Rx, 
4, 170, 4, 4, 23.068561249585, Rx, 
4, 173, 4, 4, 27.9840317627451, Rx, 
4, 174, 4, 4, 29.0832533392287, Rx, 
4, 178, 4, 4, 32.3402124103512, Rx, 
4, 179, 4, 4, 30.9339345543402, Rx, 
4, 180, 4, 4, 30.2588620009066, Rx, 
4, 181, 4, 4, 28.4058695632703, Rx, 
4, 182, 4, 4, 28.9156672607436, Rx, 
4, 183, 4, 4, 27.5177634023312, Rx, 
4, 187, 4, 4, 26.2848056763245, Rx, 
4, 188, 4, 4, 27.2996146805156, Rx, 
4, 189, 4, 4, 28.1747318746104, Rx, 
4, 192, 4, 4, 27.7424713382389, Rx, 
4, 193, 4, 4, 27.5879905850557, Rx, 
4, 201, 4, 4, 23.9064113271245, Rx, 
4, 203, 4, 4, 23.5160498264424, Rx, 
4, 204, 4, 4, 26.079507692674, Rx, 
4, 232, 4, 4, 31.0030822742523, Rx, 
4, 249, 4, 4, 28.5422310403046, Rx, 
