EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,MaximumSpreadArea,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,AvailableCohorts,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanPET,MeanWD,MeanClay,MeanFineFuels,MeanLadderFuels,MeanDNBR,TotalBiomassMortality,
91, 5, 642, 208, 3.17078147531818, 21, 89, Lightning, 1, 1, 24, 55, 8.1293109192, 9.95335175773229, 145.496094, NaN, 3.17, NaN, 0, 0, 0.202687591314316, 0.653421630859375, 144, 419, 8690, 
92, 5, 441, 117, 4.43088331242362, 57, 94, Accidental, 1, 1, 22, 28, 9.3629156004, 8.33749049421699, 0.42333450000001, NaN, 4.43, NaN, 0, 0, 0.209166333079338, 0.431169507514106, 121, 655, 4107, 
93, 5, 257, 128, 5.62502214803316, 71, 222, Lightning, 1, 1, 18, 36, 11.7413023356, 18.4306565641314, 254.26602002, NaN, 5.63, NaN, 0, 0, 0.129999995231628, 0.666121601019965, 0, 388, 8376, 
94, 5, 288, 114, 5.70550340512516, 74, 232, Accidental, 1, 1, 16, 31, 17.5312108908, 19.2008196621265, 248.71478525, NaN, 5.71, NaN, 0, 0, 0.129999995231628, 0.892583025444878, 0, 293, 4415, 
95, 5, 590, 305, 7.32125159983735, 81, 190, Lightning, 1, 1, 3, 8, 13.6844443908, 12.6207447330373, 298.7299076, NaN, 7.32, NaN, 0, 0, 0.13437856733799, 0.886981439887153, 203, 301, 616, 
96, 5, 671, 174, 9.58991313822435, 89, 241, Lightning, 1, 1, 20, 54, 11.94657273, 13.6938349897176, 261.60518821, NaN, 9.59, NaN, 0, 0, 0.155608743429184, 0.995844182671441, 132, 270, 7464, 
97, 5, 328, 135, 7.09608806461339, 90, 200, Lightning, 1, 1, 20, 58, 11.0895534036, 13.8933260698299, 154.454457, NaN, 7.1, NaN, 0, 0, 0.129999995231628, 0.915830265299479, 593, 269, 5838, 
98, 5, 292, 104, 28.5985735611338, 168, 540, Accidental, 1, 1, 17, 21, 8.0552989548, 10.4292301138448, 217.34593975, NaN, 28.6, NaN, 0, 0, 0.129999995231628, 0.650964980740017, 0, 439, 3092, 
99, 5, 619, 515, 28.5664712958864, 183, 572, Accidental, 1, 1, 33, 46, 11.9296475712, 13.5223354040528, 136.5322555, NaN, 28.57, NaN, 0, 0, 0.0500000007450581, 0.60494121500651, 772, 373, 23955, 
100, 5, 689, 424, 29.5508116410058, 184, 644, Accidental, 1, 1, 49, 91, 11.4797220588, 18.6934963865028, 130.9423656, NaN, 29.55, NaN, 0, 0, 0.129999995231628, 0.571268017578125, 596, 381, 22962, 
