Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
5, PinuJeff, eco9, 23, 0.51, 1, 0.63, 0.3, 73.39, 121, 250, 
5, PinuJeff, eco10, 6, 0.14, 1, 0.72, 0.08, 52, 130, 243, 
5, PinuLamb, eco1, 574, 0, 1, 0.61, 0, 176.1, 0, 328.48, 
5, PinuLamb, eco2, 2536, 0, 1, 0.47, 0, 214.34, 0, 323.92, 
5, PinuLamb, eco3, 1583, 0, 1, 0.49, 0, 190.65, 20.78, 319.44, 
5, PinuLamb, eco4, 2170, 0, 1, 0.48, 0, 183.12, 30.56, 318.94, 
5, PinuLamb, eco5, 1729, 0.46, 1, 0.58, 0.24, 148.65, 54.77, 315.67, 
5, PinuLamb, eco6, 2676, 0.97, 1, 0.37, 0.22, 122.99, 111.72, 272.71, 
5, PinuLamb, eco7, 1588, 0.83, 1, 0.47, 0.28, 100.57, 116.38, 261.39, 
5, PinuLamb, eco8, 431, 0.65, 1, 0.54, 0.32, 86.67, 118.48, 255.91, 
5, PinuLamb, eco9, 20, 0.51, 1, 0.58, 0.3, 76.55, 121, 250, 
5, PinuLamb, eco10, 2, 0.14, 1, 0.7, 0.08, 52, 130, 243, 
5, PinuMont, eco1, 573, 0, 1, 0.57, 0, 177.04, 0, 328.61, 
5, PinuMont, eco2, 2529, 0, 1, 0.41, 0, 213.43, 0, 323.88, 
5, PinuMont, eco3, 1626, 0, 1, 0.43, 0, 189.71, 21.13, 319.37, 
5, PinuMont, eco4, 2081, 0, 1, 0.43, 0, 181.4, 30.82, 318.89, 
5, PinuMont, eco5, 1751, 0, 1, 0.55, 0, 148.14, 55.13, 315.92, 
5, PinuMont, eco6, 2660, 0.79, 1, 0.32, 0.19, 122.76, 111.62, 272.84, 
5, PinuMont, eco7, 1560, 0.98, 1, 0.42, 0.25, 100.69, 116.48, 261.55, 
5, PinuMont, eco8, 426, 0.99, 1, 0.48, 0.29, 87.12, 118.52, 255.98, 
5, PinuMont, eco9, 17, 0.96, 1, 0.54, 0.33, 76.76, 121, 250, 
5, PinuMont, eco10, 1, 0.8, 1, 0.68, 0.41, 52, 130, 243, 
5, PopuTrem, eco1, 2403, 0, 1, 0.73, 0, 118.14, 0, 328.93, 
5, PopuTrem, eco2, 3888, 0, 1, 0.5, 0, 174.87, 0, 324.79, 
5, PopuTrem, eco3, 1657, 0, 1, 0.47, 0, 172.07, 16.94, 321.09, 
5, PopuTrem, eco4, 2624, 0.23, 1, 0.43, 0.1, 176.24, 30.97, 321.27, 
5, PopuTrem, eco5, 2880, 0.77, 1, 0.49, 0.29, 152.19, 57.37, 314.45, 
5, PopuTrem, eco6, 3810, 0.98, 1, 0.27, 0.16, 122.76, 111.77, 272.71, 
5, PopuTrem, eco7, 2122, 0.88, 1, 0.35, 0.21, 102.9, 117.72, 262.56, 
5, PopuTrem, eco8, 328, 0.78, 1, 0.45, 0.27, 88.07, 117.72, 255.42, 
5, PopuTrem, eco9, 20, 0.7, 1, 0.55, 0.33, 73.45, 121, 250, 
5, PopuTrem, eco10, 10, 0.49, 1, 0.67, 0.29, 51.7, 130, 243, 
5, TsugMert, eco1, 2849, 0, 1, 0.49, 0, 190.75, 0, 328.8, 
5, TsugMert, eco2, 32330, 0, 1, 0.3, 0, 230.25, 0, 324.79, 
5, TsugMert, eco3, 42247, 0, 1, 0.28, 0, 216.26, 16.92, 320.92, 
5, TsugMert, eco4, 46111, 0, 1, 0.35, 0, 196.43, 27.1, 320.43, 
5, TsugMert, eco5, 40529, 0, 1, 0.53, 0, 152.62, 50.13, 319.3, 
5, TsugMert, eco6, 61711, 0, 1, 0.25, 0, 129.65, 107.07, 273.74, 
5, TsugMert, eco7, 34021, 0.01, 1, 0.4, 0, 101.06, 111.15, 258.66, 
5, TsugMert, eco8, 8238, 0.38, 1, 0.46, 0.2, 87.79, 116.45, 254.77, 
5, TsugMert, eco9, 318, 0.75, 1, 0.44, 0.27, 82.49, 122.96, 250.92, 
5, TsugMert, eco10, 7, 1, 1, 0.57, 0.34, 62.71, 130, 243, 
5, AcerMacr, eco1, 552, 0, 1, 0.23, 0, 176.35, 0, 328.54, 
5, AcerMacr, eco2, 2515, 0, 1, 0.1, 0, 215.36, 0, 323.96, 
5, AcerMacr, eco3, 1566, 0.28, 1, 0.14, 0.05, 188.57, 20.85, 319.77, 
5, AcerMacr, eco4, 2122, 0.59, 1, 0.14, 0.08, 183.44, 30.75, 319.11, 
5, AcerMacr, eco5, 1711, 0.9, 1, 0.11, 0.07, 147.48, 55.29, 315.52, 
5, AcerMacr, eco6, 2692, 0.95, 1, 0, 0, 122.92, 111.6, 272.77, 
5, AcerMacr, eco7, 1590, 0.84, 1, 0, 0, 100.15, 115.94, 261.23, 
5, AcerMacr, eco8, 457, 0.74, 1, 0.03, 0.02, 87.19, 118.17, 255.74, 
5, AcerMacr, eco9, 22, 0.66, 1, 0.1, 0.06, 77.05, 121, 250, 
5, AcerMacr, eco10, 2, 0.47, 0, 0.3, 0, 52, 130, 243, 
5, AescCali, eco1, 559, 0.17, 1, 0.34, 0.06, 175.07, 0, 328.7, 
5, AescCali, eco2, 2556, 0.38, 1, 0.17, 0.07, 213.15, 0, 324.06, 
5, AescCali, eco3, 1553, 0.68, 1, 0.2, 0.12, 190.08, 20.72, 319.71, 
5, AescCali, eco4, 2114, 0.88, 1, 0.24, 0.14, 182.73, 31.08, 318.96, 
5, AescCali, eco5, 1734, 0.99, 1, 0.29, 0.17, 147.5, 54.89, 315.84, 
5, AescCali, eco6, 2657, 0.68, 0.23, 0, 0, 123.24, 111.42, 272.65, 
5, AescCali, eco7, 1583, 0.44, 0.21, 0.02, 0, 100.44, 116.19, 261.34, 
5, AescCali, eco8, 447, 0.25, 0, 0.11, 0, 86.39, 117.72, 255.49, 
5, AescCali, eco9, 23, 0.11, 0, 0.15, 0, 76.96, 121, 250, 
5, AescCali, eco10, 2, 0, 0, 0.49, 0, 52, 130, 243, 
5, AlnuRhom, eco1, 1673, 0, 1, 0.47, 0, 127.93, 0, 328.83, 
5, AlnuRhom, eco2, 3548, 0, 1, 0.22, 0, 188.16, 0, 324.54, 
5, AlnuRhom, eco3, 1714, 0, 1, 0.2, 0, 178.54, 18.57, 320.44, 
5, AlnuRhom, eco4, 2558, 0.02, 1, 0.17, 0, 177.19, 30.64, 320.48, 
5, AlnuRhom, eco5, 2488, 0.56, 1, 0.11, 0.07, 150.53, 57.04, 314.48, 
5, AlnuRhom, eco6, 3767, 0.99, 1, 0, 0, 122.28, 112.56, 272.69, 
5, AlnuRhom, eco7, 2228, 0.97, 1, 0, 0, 101.96, 117.65, 262.34, 
5, AlnuRhom, eco8, 414, 0.91, 1, 0.04, 0.02, 87.85, 118.7, 256.02, 
5, AlnuRhom, eco9, 23, 0.85, 1, 0.12, 0.07, 73.52, 121, 250, 
5, AlnuRhom, eco10, 5, 0.69, 1, 0.3, 0.18, 52, 130, 243, 
5, ArbuMenz, eco1, 1716, 0, 1, 0.66, 0, 127.31, 0, 328.86, 
5, ArbuMenz, eco2, 3621, 0.08, 1, 0.39, 0.03, 188.15, 0, 324.54, 
5, ArbuMenz, eco3, 1694, 0.4, 1, 0.4, 0.15, 177.01, 18.77, 320.45, 
5, ArbuMenz, eco4, 2573, 0.67, 1, 0.37, 0.21, 177.99, 30.91, 320.31, 
5, ArbuMenz, eco5, 2473, 0.93, 1, 0.42, 0.25, 150.59, 57.25, 314.59, 
5, ArbuMenz, eco6, 3777, 0.95, 1, 0.13, 0.08, 122.34, 112.46, 272.66, 
5, ArbuMenz, eco7, 2202, 0.86, 1, 0.25, 0.15, 102, 117.52, 262.19, 
5, ArbuMenz, eco8, 413, 0.78, 1, 0.35, 0.21, 88.91, 118.66, 255.99, 
5, ArbuMenz, eco9, 24, 0.72, 1, 0.49, 0.29, 71.71, 121, 250, 
5, ArbuMenz, eco10, 8, 0.56, 1, 0.63, 0.34, 51.63, 130, 243, 
5, CornNutt, eco1, 716, 0, 1, 0.39, 0, 180.54, 0, 328.55, 
5, CornNutt, eco2, 3973, 0, 1, 0.23, 0, 218.84, 0, 324.21, 
5, CornNutt, eco3, 2956, 0, 1, 0.26, 0, 200.53, 18.76, 320.26, 
5, CornNutt, eco4, 3692, 0, 1, 0.31, 0, 185.23, 29.78, 319.29, 
5, CornNutt, eco5, 3336, 0.04, 1, 0.41, 0.02, 148.92, 52.58, 317.2, 
5, CornNutt, eco6, 3995, 0.93, 1, 0.06, 0.04, 125.87, 108.77, 273.28, 
5, CornNutt, eco7, 2237, 1, 1, 0.19, 0.11, 100.55, 112.84, 259.63, 
5, CornNutt, eco8, 750, 0.96, 1, 0.32, 0.19, 86.23, 116.73, 254.92, 
5, CornNutt, eco9, 40, 0.89, 1, 0.29, 0.18, 81.93, 124.2, 251.5, 
5, CornNutt, eco10, 1, 0.72, 1, 0.59, 0.35, 52, 130, 243, 
5, JuniOcci, eco1, 1735, 0.87, 1, 0.77, 0.46, 127.09, 0, 328.86, 
5, JuniOcci, eco2, 3556, 0.92, 1, 0.62, 0.37, 187.55, 0, 324.47, 
5, JuniOcci, eco3, 1679, 0.97, 1, 0.61, 0.36, 178.58, 18.8, 320.47, 
5, JuniOcci, eco4, 2546, 1, 1, 0.58, 0.35, 177.16, 30.97, 320.29, 
5, JuniOcci, eco5, 2468, 0.97, 1, 0.62, 0.37, 149.81, 56.95, 314.73, 
5, JuniOcci, eco6, 3784, 0.77, 1, 0.46, 0.28, 121.97, 112.45, 272.78, 
5, JuniOcci, eco7, 2238, 0.66, 1, 0.53, 0.32, 101.67, 117.73, 262.35, 
5, JuniOcci, eco8, 416, 0.58, 1, 0.58, 0.33, 88.3, 118.8, 256.08, 
5, JuniOcci, eco9, 21, 0.52, 1, 0.64, 0.31, 75, 121, 250, 
5, JuniOcci, eco10, 3, 0.4, 1, 0.73, 0.24, 52, 130, 243, 
5, LithDens, eco1, 719, 0, 1, 0.49, 0, 182.7, 0, 328.49, 
5, LithDens, eco2, 3967, 0, 1, 0.31, 0, 218.6, 0, 324.27, 
5, LithDens, eco3, 2938, 0, 1, 0.33, 0, 199.5, 19.08, 320.04, 
5, LithDens, eco4, 3705, 0.17, 1, 0.38, 0.07, 184.94, 29.42, 319.35, 
5, LithDens, eco5, 3316, 0.78, 1, 0.51, 0.31, 148.99, 52.83, 317, 
5, LithDens, eco6, 4034, 0.94, 0, 0.24, 0, 126.04, 108.7, 273.24, 
5, LithDens, eco7, 2242, 0.77, 0, 0.37, 0, 100.45, 112.79, 259.67, 
5, LithDens, eco8, 739, 0.58, 0, 0.46, 0, 85.83, 116.83, 254.97, 
5, LithDens, eco9, 30, 0.41, 0, 0.45, 0, 79.97, 124.2, 251.5, 
5, LithDens, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, PinuAtte, eco1, 2399, 0, 1, 0.72, 0, 117.8, 0, 328.88, 
5, PinuAtte, eco2, 3856, 0, 1, 0.48, 0, 174.66, 0, 324.78, 
5, PinuAtte, eco3, 1662, 0, 1, 0.46, 0, 172.29, 17.18, 320.96, 
5, PinuAtte, eco4, 2616, 0, 1, 0.42, 0, 175.47, 30.79, 321.25, 
5, PinuAtte, eco5, 2849, 0.11, 1, 0.47, 0.05, 152.47, 57.04, 314.6, 
5, PinuAtte, eco6, 3808, 0.98, 0.09, 0.24, 0.02, 122.83, 111.66, 272.68, 
5, PinuAtte, eco7, 2115, 0.9, 0, 0.32, 0, 102.9, 117.8, 262.62, 
5, PinuAtte, eco8, 319, 0.74, 0, 0.41, 0, 88.95, 118.19, 255.7, 
5, PinuAtte, eco9, 19, 0.58, 0, 0.51, 0, 74.89, 121, 250, 
5, PinuAtte, eco10, 9, 0.16, 0, 0.66, 0, 51.67, 130, 243, 
5, PinuMono, eco1, 1753, 0.87, 1, 0.77, 0.46, 127.8, 0, 328.88, 
5, PinuMono, eco2, 3533, 0.92, 1, 0.62, 0.37, 186.99, 0, 324.48, 
5, PinuMono, eco3, 1714, 0.97, 1, 0.61, 0.37, 178.12, 18.76, 320.59, 
5, PinuMono, eco4, 2528, 1, 1, 0.58, 0.35, 177.29, 30.77, 320.6, 
5, PinuMono, eco5, 2481, 0.97, 1, 0.62, 0.37, 150.5, 57.07, 314.77, 
5, PinuMono, eco6, 3740, 0.77, 1, 0.46, 0.27, 122.32, 112.49, 272.63, 
5, PinuMono, eco7, 2244, 0.66, 1, 0.53, 0.32, 101.92, 117.89, 262.47, 
5, PinuMono, eco8, 410, 0.58, 1, 0.58, 0.33, 88.46, 118.75, 256.04, 
5, PinuMono, eco9, 24, 0.52, 1, 0.65, 0.31, 73.58, 121, 250, 
5, PinuMono, eco10, 6, 0.4, 1, 0.74, 0.24, 51.67, 130, 243, 
5, PinuPond, eco1, 2391, 0.88, 1, 0.76, 0.46, 118.07, 0, 328.88, 
5, PinuPond, eco2, 3876, 0.93, 1, 0.59, 0.35, 175.19, 0, 324.83, 
5, PinuPond, eco3, 1648, 0.98, 1, 0.56, 0.34, 172.49, 17.2, 320.95, 
5, PinuPond, eco4, 2606, 1, 1, 0.51, 0.31, 175.93, 30.89, 321.24, 
5, PinuPond, eco5, 2864, 0.96, 1, 0.56, 0.33, 152.37, 57.2, 314.51, 
5, PinuPond, eco6, 3809, 0.74, 1, 0.38, 0.23, 122.66, 111.84, 272.71, 
5, PinuPond, eco7, 2116, 0.62, 1, 0.45, 0.27, 102.84, 117.65, 262.56, 
5, PinuPond, eco8, 316, 0.54, 1, 0.53, 0.3, 88.42, 117.69, 255.4, 
5, PinuPond, eco9, 20, 0.47, 1, 0.61, 0.28, 72.8, 121, 250, 
5, PinuPond, eco10, 9, 0.34, 1, 0.7, 0.2, 51.67, 130, 243, 
