Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
2053, eco7, 6, 144.02, 11.49, 80, 291, 0, 
2054, eco7, 6, 163.15, 9.32, 107, 287, 0, 
2055, eco7, 6, 106.19, 10.73, 76, 291, 0, 
2056, eco7, 6, 98.75, 9.51, 93, 272, 0, 
2057, eco7, 6, 119, 11.01, 113, 293, 0, 
2058, eco7, 6, 115.21, 9.37, 114, 291, 0, 
2059, eco7, 6, 224.51, 9.65, 99, 288, 0, 
2060, eco7, 6, 224.9, 8.64, 105, 291, 0, 
2020, eco8, 7, 69.34, 8.88, 73, 291, 0, 
2021, eco8, 7, 184.02, 7.54, 126, 291, 0, 
2022, eco8, 7, 93.66, 6.01, 123, 267, 0, 
2023, eco8, 7, 143.69, 6.82, 121, 271, 0, 
2024, eco8, 7, 168.32, 6.44, 121, 260, 0, 
2025, eco8, 7, 99.15, 8.37, 109, 283, 0, 
2026, eco8, 7, 178.98, 8.11, 125, 291, 0, 
2027, eco8, 7, 76.29, 7.84, 98, 291, 0, 
2028, eco8, 7, 141.42, 8.15, 108, 269, 0, 
2029, eco8, 7, 176.83, 7.55, 115, 277, 0, 
2030, eco8, 7, 97.54, 8.17, 115, 271, 0, 
2031, eco8, 7, 99.27, 8.37, 125, 258, 0, 
2032, eco8, 7, 133.1, 7.75, 114, 283, 0, 
2033, eco8, 7, 186.54, 6.86, 136, 263, 0, 
2034, eco8, 7, 152.84, 7.29, 118, 268, 0, 
2035, eco8, 7, 103.2, 8.47, 114, 274, 0, 
2036, eco8, 7, 156.44, 9.15, 94, 296, 0, 
2037, eco8, 7, 108.69, 8.27, 119, 291, 0, 
2038, eco8, 7, 127.93, 9.54, 111, 272, 0, 
2039, eco8, 7, 136.32, 8.62, 110, 291, 0, 
2040, eco8, 7, 128.51, 8.87, 114, 291, 0, 
2041, eco8, 7, 118.53, 8.16, 120, 291, 0, 
2042, eco8, 7, 159.63, 8.21, 91, 288, 0, 
2043, eco8, 7, 105.95, 8.76, 113, 309, 0, 
2044, eco8, 7, 111.08, 9.63, 107, 267, 0, 
2045, eco8, 7, 118.13, 8.82, 116, 273, 0, 
2046, eco8, 7, 138.03, 9.81, 74, 291, 0, 
2047, eco8, 7, 130.86, 8.23, 118, 285, 0, 
2048, eco8, 7, 151.37, 7.85, 100, 266, 0, 
2049, eco8, 7, 84.64, 8.96, 97, 278, 0, 
2050, eco8, 7, 105.27, 10.14, 84, 291, 0, 
2051, eco8, 7, 109.48, 9.15, 117, 280, 0, 
2052, eco8, 7, 135.93, 8.55, 100, 280, 0, 
2053, eco8, 7, 135.23, 10.69, 86, 291, 0, 
2054, eco8, 7, 149.79, 8.51, 116, 285, 0, 
2055, eco8, 7, 98.16, 9.87, 83, 291, 0, 
2056, eco8, 7, 89.54, 8.66, 96, 270, 0, 
